Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
per_068,inst137,1,1996-1998,1996-1998,99
per_068,inst138,1,1998-2009,1998-2009,99
per_068,inst139,1,99,99,99
per_068,inst140,1,99,99,99
per_002,pers_003,2,99,99,99
per_002,pers_004,2,99,99,99
per_002,pers_005,2,99,99,99
per_002,pers_006,2,99,99,99
per_002,pers_007,2,99,99,99
per_002,pers_008,2,99,99,99
per_002,pers_009,2,99,99,99
per_028,inst_019,2,99,99,99
per_028,per_029,2,99,99,99
per_028,per_035,2,99,99,99
per_027,inst_017,2,99,99,99
per_027,inst_018,2,99,99,99
per_027,inst_020,2,99,99,99
per_027,inst_021,2,99,99,99
per_027,per_029,2,99,99,99
per_027,per_030,2,99,99,99
per_027,per_031,2,99,99,99
per_037,pers_025,2,99,99,99
per_079,per_053,2,99,99,99
per_080,per_081,2,99,99,99
per_080,per_083,2,99,99,99
per_080,per_087,2,99,99,99
per_080,per_091,2,99,99,99
per_080,per_025,2,99,99,99
per_031,per_093,2,99,99,99
per_031,per_051,2,99,99,99
per_031,per_055,2,99,99,99
per_031,per_094,2,99,99,99
per_031,per_095,2,99,99,99
per_031,per_039,2,99,99,99
per_102,per_103,2,99,99,99
per_102,per_107,2,99,99,99
per_102,per_108,2,99,99,99
per_102,per_109,2,99,99,99
per_110,per_111,2,99,99,99
per_110,inst115,2,99,99,99
per_068,per_031,2,99,99,99
per_068,per_097,2,99,99,99
per_068,inst123,2,99,99,99
per_068,inst141,2,99,99,99
per_002,eq001,8,99,99,99
per_002,eq002,8,99,99,99
per_002,eq003,8,99,99,99
per_002,eq004,8,99,99,99
per_002,eq005,8,99,99,99
per_028,eq001,8,99,99,99
per_045,eq001,8,99,99,99
per_045,eq002,8,99,99,99
per_045,eq003,8,99,99,99
per_037,eq001,8,99,99,99
per_079,eq001,8,99,99,99
per_079,eq002,8,99,99,99
per_080,eq001,8,99,99,99
per_031,eq001,8,99,99,99
per_031,eq002,8,99,99,99
per_102,eq001,8,99,99,99
per_102,eq002,8,99,99,99
per_110,eq001,8,99,99,99
per_110,eq002,8,99,99,99
per_110,eq003,8,99,99,99
per_110,eq004,8,99,99,99
per_110,eq005,8,99,99,99
per_115,eq001,8,99,99,99
per_068,eq001,8,99,99,99
per_068,eq002,8,99,99,99
inst001,inst002,3,99,99,99
inst008,inst007,3,99,99,99
inst010,inst008,3,99,99,99
inst016,inst014,3,99,99,99
inst024,inst027,3,99,99,99
inst025,inst027,3,99,99,99
inst030,inst027,3,99,99,99
inst049,inst048,3,99,99,99
